name	country	gender	birthdate	competition_years	first	last
Hamish BURSON	NZL	M	13 Apr 1987	1987	2012,2012,2011,2011,2010,2010,2010,2009,2009,2008,2005,2004	2004	2012
Nicholas PUSINELLI	NZL	M	7 Jun 1986	1986	2011,2011,2008,2004	2004	2011
Victor ASPILLAGA ALAYZA	PER	M	2 Jul 1985	1985	2012,2012,2012,2011,2011,2010,2007,2007,2006,2005,2004,2004	2004	2012
Jurgen SPIHLMANN FREIBERG	PER	M	2 Sep 1986	1986	2004,2004	2004	2004
Eduardo CRUZ	POR	M	12 Apr 1986	1986	2005,2004	2004	2005
Helen JERVIS	RSA	W	4 Jan 1988	1988	2004	2004	2004
Carolyn SMITH	RSA	W	4 Feb 1986	1986	2008,2004	2004	2008
Peter LAMBERT	GBR	M	3 Dec 1986	1986	2017,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2012,2011,2011,2010,2010,2010,2009,2006,2004	2004	2017
Matthew GERTENBACH	RSA	M	11 Aug 1986	1986	2006,2004	2004	2006
Sheldon BEVAN	RSA	M	13 Aug 1986	1986	2004	2004	2004
Shaun KEELING	RSA	M	21 Jan 1987	1987	2016,2016,2016,2015,2015,2014,2014,2013,2013,2012,2011,2011,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2006,2005,2004	2004	2016
Shuying ONG	SGP	W	9 Feb 1989	1989	2005,2004	2004	2005
Ivan LEE YEE FAN	SGP	M	2 Jul 1988	1988	2005,2004	2004	2005
Hana TRABELSI	TUN	W	7 Feb 1985	1985	None	None	None
Houcine OUNIS	TUN	M	7 Mar 1986	1986	2004	2004	2004
Ming Cheung HO	HKG	M	14 Nov 1986	1986	2007,2005,2005,2004	2004	2007
Kwong Wing CHOW	HKG	M	17 Mar 1986	1986	2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2010,2009,2009,2008,2008,2008,2007,2007,2007,2006,2006,2005,2004	2004	2015
Stephen CHENG	CAN	M	25 Jul 1979	1979	2007,2006,2005,2004,2001	2001	2007
Sheryl PRESTON	CAN	W	11 Oct 1975	1975	2010,2010,2009,2009,2009,2006,2005,2004	2004	2010
Elizabeth URBACH	CAN	W	28 Jun 1976	1976	2005,2005,2004	2004	2005
Jordi-Joan MALIA MASANA	ESP	M	23 Apr 1987	1987	2004	2004	2004
Jacob NEERGAARD	DEN	M	18 Aug 1989	1989	2004	2004	2004
Rafal CHOLEWINSKI	POL	M	4 Jan 1986	1986	2004,2004	2004	2004
Valentin IONITA	ROU	M	15 Oct 1984	1984	None	None	None
Cristina VLAD	ROU	W	16 Feb 1984	1984	None	None	None
Etien SALGAJ	SLO	M	28 Mar 1991	1991	2004	2004	2004
Blaz KROPE	SLO	M	16 Feb 1992	1992	2004	2004	2004
Yuriy PANCHUK	UKR	M	12 May 1981	1981	2014,2011,2008,2006,2004	2004	2014
Kaat HAUTVAST	NED	W	18 Jan 1980	1980	2007,2007,2006,2006,2005,2005,2004	2004	2007
Molly BAKER	USA	W	18 Oct 1981	1981	2004	2004	2004
Christopher DE FELICE	USA	M	28 Jul 1978	1978	2004	2004	2004
Chris GREENLEAF	USA	M	16 Sep 1981	1981	2004	2004	2004
Steve COPPOLA JR	USA	M	22 May 1984	1984	2011,2011,2010,2009,2009,2008,2007,2006,2005,2004	2004	2011
Jean ETIKA	CMR	M	18 Jul 1981	1981	None	None	None
Sammef MOUKOUM BOULAN	CMR	M	3 May 1981	1981	2005	2005	2005
Alexander KOCH	BEL	M	22 Jul 1986	1986	2010,2010,2010,2010,2007,2006,2005,2004	2004	2010
Benoit LECLERCQ	BEL	M	7 May 1988	1988	2006,2005,2004	2004	2006
Ruben DE GENDT	BEL	M	9 Apr 1987	1987	2010,2010,2009,2009,2009,2008,2007,2007,2006,2006,2005,2004	2004	2010
Pieter VERPOEST	BEL	M	3 Jun 1986	1986	2004	2004	2004
Hannes DE REU	BEL	M	30 May 1986	1986	2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2006,2005,2004	2004	2011
Joachim DE PAUW	BEL	M	7 Jul 1987	1987	2006,2005,2004	2004	2006
Brandon BATEY	CAN	M	2 Apr 1986	1986	2004	2004	2004
Grant DOORNEKAMP	CAN	M	11 May 1987	1987	2005,2004	2004	2005
Robert Michael GIBSON	CAN	M	2 Feb 1986	1986	2016,2016,2016,2016,2015,2015,2014,2014,2014,2013,2012,2012,2011,2011,2010,2010,2010,2009,2009,2008,2008,2007,2007,2006,2006,2004,1983,1981	1981	2016
William CROTHERS	CAN	M	14 Jun 1987	1987	2017,2016,2016,2016,2015,2015,2014,2014,2014,2013,2013,2012,2012,2011,2011,2010,2010,2009,2008,2007,2007,2006,2006,2005,2004	2004	2017
Robert VANNER	CAN	M	29 Dec 1987	1987	2004	2004	2004
Kurtis BOYD	CAN	M	5 May 1986	1986	2008,2007,2007,2006,2004	2004	2008
Chris AYLARD	CAN	M	9 Jun 1986	1986	2008,2007,2007,2006,2006,2005,2004	2004	2008
Richard ANDERSON	CAN	M	31 Mar 1987	1987	2009,2005,2004	2004	2009
Mathew LAUSBERG	CAN	M	6 Jul 1986	1986	2004	2004	2004
Greg PUPO	CAN	M	12 May 1987	1987	2005,2004	2004	2005
Alan SAWULA	CAN	M	10 May 1987	1987	2004	2004	2004
Jeff OVERINGTON	CAN	M	24 Nov 1987	1987	2009,2005,2004	2004	2009
Richard JOYCE	CAN	M	9 Jun 1987	1987	2004	2004	2004
Graham LEITCH	CAN	M	1 Apr 1986	1986	2004	2004	2004
Kyle NICKEL	CAN	M	28 May 1987	1987	2004	2004	2004
James MULCAHY	CAN	M	25 Mar 1986	1986	2004	2004	2004
Josh GRACIN	CAN	M	11 Feb 1988	1988	2006,2005,2004	2004	2006
Robert KING	CAN	M	21 Dec 1988	1988	None	None	None
Colin SUTHERLAND	CAN	M	24 Jan 1986	1986	None	None	None
Teskey CONNOR	CAN	M	None	None	None	None	None
Kristyna ANDELOVA	CZE	W	1 Apr 1987	1987	2004	2004	2004
Katerina FRANCOVA	CZE	W	28 Aug 1987	1987	2005,2004	2004	2005
Michal OPRAVIL	CZE	M	31 Aug 1986	1986	2006,2005,2004	2004	2006
Barbora ZEDNIKOVA	CZE	W	19 Nov 1988	1988	2006,2005,2004	2004	2006
Sarka TOPOLANKOVA	CZE	W	24 Aug 1987	1987	2005,2004	2004	2005
Zaneta SMEJKALOVA	CZE	W	20 May 1986	1986	2006,2005,2005,2004	2004	2006
Inese GEGERE	LAT	W	15 Apr 1982	1982	None	None	None
Filip KAPLAN	CZE	M	1 Apr 1988	1988	2006,2005,2004	2004	2006
Michal HORVATH	CZE	M	30 Jun 1987	1987	2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2005,2004	2004	2012
Patrik GARAJ	CZE	M	13 Oct 1987	1987	2005,2004	2004	2005
Michal PLESKO	CZE	M	20 May 1986	1986	2008,2007,2005,2004	2004	2008
David PROSVIC	CZE	M	3 Feb 1986	1986	2004	2004	2004
David HARNISCH	CZE	M	11 Jul 1987	1987	2005,2004	2004	2005
Jan ZBROJKA	CZE	M	3 Jul 1986	1986	2005,2005,2004	2004	2005
Martina HILBRANDT	DEN	W	10 May 1987	1987	2005,2004	2004	2005
Sophus JOHANNESEN	DEN	M	20 Apr 1987	1987	2015,2015,2015,2015,2014,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2010,2010,2010,2009,2009,2009,2008,2008,2007,2007,2007,2006,2005,2004	2004	2015
Rauno TALISOO	EST	M	22 Dec 1988	1988	2011,2011,2010,2010,2010,2009,2009,2008,2007,2007,2007,2006,2006,2006,2005,2005,2004	2004	2011
Sten VILLMANN	EST	M	26 Jan 1986	1986	2011,2011,2011,2009,2008,2007,2007,2006,2006,2005,2004	2004	2011
Martin ABSALON	EST	M	7 Jan 1986	1986	2009,2008,2007,2007,2007,2006,2006,2005,2004	2004	2009
Denis NESSON	EST	M	10 Oct 1987	1987	2007,2005	2005	2007
Alberto HERMO ALVAREZ	ESP	M	14 Mar 1987	1987	2004	2004	2004
Francisco IZQUIERDO MARTINEZ	ESP	M	26 Oct 1987	1987	2005,2004	2004	2005
Isaac PRADA FERNANDEZ	ESP	M	3 May 1987	1987	2005,2004	2004	2005
Carles GRABULOSA AGUILERA	ESP	M	3 Feb 1986	1986	2004	2004	2004
Josep TEIXIDOR VILARNAU	ESP	M	15 Dec 1987	1987	2004	2004	2004
Tomas VIDAL YANEZ	ESP	M	16 Oct 1986	1986	2004	2004	2004
Valentin RIVAS LOPEZ	ESP	M	27 Oct 1986	1986	None	None	None
Marcos SARMIENTO SANCHEZ	ESP	M	3 Sep 1988	1988	None	None	None
Sara MORENO ADAME	ESP	W	1 Feb 1985	1985	2006	2006	2006
Paul-Henri CARDOT	FRA	M	15 Jun 1987	1987	2004	2004	2004
Charles BURKITT	GBR	M	28 Apr 1986	1986	2008,2008,2007,2004	2004	2008
Harry SCARR	GBR	M	17 Mar 1986	1986	2004	2004	2004
Christopher DOUSE	GBR	M	8 Aug 1986	1986	2004	2004	2004
Elizabeth HILLS	GBR	W	1 Jun 1987	1987	2004	2004	2004
Victoria TATMAN	GBR	W	22 Apr 1986	1986	2004	2004	2004
Timothy CHALK	GBR	M	20 Aug 1987	1987	2004	2004	2004
Giles RITCHIE	GBR	M	23 Sep 1986	1986	2004	2004	2004
Francesca JUS-BURKE	GBR	W	3 Jan 1987	1987	2007,2007,2006,2005,2004	2004	2007
Ben SMISSEN	GBR	M	31 Aug 1987	1987	2004	2004	2004
Robin EJSMOND-FREY	GBR	M	14 Mar 1986	1986	2005,2004	2004	2005
Kristina STILLER	GBR	W	23 Jun 1987	1987	2016,2016,2016,2015,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2013,2009,2009,2008,2008,2008,2008,2007,2007,2006,2005,2004	2004	2016
Lauren FISHER	GBR	W	17 Feb 1986	1986	2007,2007,2007,2004	2004	2007
Josh DAVIDSON	GBR	M	19 Sep 1986	1986	2008,2007,2004	2004	2008
Jonathan MC NUFF	GBR	M	27 Aug 1986	1986	2004	2004	2004
William VERRILL	GBR	M	27 Aug 1986	1986	2004	2004	2004
William FERGUSON	GBR	M	15 Oct 1986	1986	2004	2004	2004
Nicholas STILES	GBR	M	2 Sep 1986	1986	2004	2004	2004
Brian CULLEN	GBR	M	5 Sep 1986	1986	2004	2004	2004
Jonathan WATKINS	GBR	M	22 Mar 1986	1986	2004	2004	2004
Thomas WINTERTON	GBR	M	24 Jun 1986	1986	2004	2004	2004
Kay BENEKE	GER	M	27 Jan 1987	1987	2005,2004	2004	2005
Christoph PUESCHEL	GER	M	13 Dec 1986	1986	2004	2004	2004
Marc ROSSMEIER	GER	M	1 May 1986	1986	2004	2004	2004
Arman LAHOUTI	GER	M	7 Oct 1986	1986	2007,2006,2005,2004	2004	2007
Malte SCHUBERT	GER	M	12 May 1986	1986	2004	2004	2004
Matthias LOHSE	GER	M	26 Jul 1986	1986	2004	2004	2004
Maren RUSSE	GER	W	6 Apr 1986	1986	2007,2005,2004	2004	2007
Karoline STREHL	GER	W	20 Oct 1986	1986	2004	2004	2004
Svenja SANDERS	GER	W	11 Feb 1986	1986	2004	2004	2004
Melanie STAELBERG	GER	W	30 May 1986	1986	2004	2004	2004
Richard SCHMIDT	GER	M	23 May 1987	1987	2018,2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2016,2015,2015,2015,2015,2015,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2008,2008,2008,2008,2007,2007,2007,2005,2004	2004	2018
Sebastian MUELLER	GER	M	28 Feb 1987	1987	2005,2004	2004	2005
Ivan SARIC	GER	M	29 Jan 1987	1987	2008,2007,2006,2005,2004	2004	2008
Gregor KOLB	GER	M	21 Jul 1987	1987	2005,2004	2004	2005
Julia KROEGER	GER	W	4 Aug 1988	1988	2009,2009,2009,2008,2007,2007,2006,2004	2004	2009
Philipp KNAUTHE	GER	M	6 Jun 1987	1987	2004	2004	2004
Christian PROPHET	GER	M	1 Mar 1986	1986	2004	2004	2004
Susanne HERBRAND	GER	W	10 Feb 1986	1986	2005,2005,2004	2004	2005
Mandy REPPNER	GER	W	14 Jan 1988	1988	2010,2006,2005,2004	2004	2010
Vera DOHMEN	GER	W	29 Jun 1987	1987	2004	2004	2004
Anna-Theresa KLUCHERT	GER	W	13 Nov 1988	1988	2007,2006,2006,2005,2005,2004	2004	2007
Charlott GOLDSTEIN	GER	W	26 Jun 1986	1986	2004	2004	2004
Martin GULYAS	GER	M	10 Jul 1987	1987	2009,2009,2009,2008,2008,2007,2005,2004	2004	2009
Robert BERTRAM	GER	M	10 Oct 1986	1986	2007,2007,2006,2004	2004	2007
Felix FELDHAUS	GER	M	6 Oct 1986	1986	2007,2006,2005,2004	2004	2007
Mareike HELMERS	GER	W	3 Mar 1986	1986	2004	2004	2004
Nora HERMANS	GER	W	2 May 1987	1987	2005	2005	2005
Lisa-Marie HUETTENBERGER	GER	W	21 Aug 1986	1986	2004	2004	2004
Anika KNIEST	GER	W	9 May 1987	1987	2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2008,2008,2007,2006,2006,2005,2004	2004	2011
Tina SCHNEEMANN	GER	W	8 Dec 1987	1987	2006,2005,2004	2004	2006
Mona STINNER	GER	W	3 Jul 1987	1987	2007,2004	2004	2007
Gundula WINTER	GER	W	26 Feb 1987	1987	2004	2004	2004
Bastian BETTHAEUSER	GER	M	27 Aug 1986	1986	2004	2004	2004
Mathis JESSEN	GER	M	31 May 1987	1987	2009,2008,2006,2005,2004	2004	2009
Philipp KARNATZ	GER	M	11 Jul 1987	1987	2011,2005,2004	2004	2011
Thomas PROTZE	GER	M	27 Oct 1986	1986	2011,2010,2010,2009,2009,2009,2008,2007,2006,2004	2004	2011
Dev WIJEKOON	GER	M	20 May 1987	1987	2008,2007,2005,2004	2004	2008
Kathleen KIRCHHOFF	GER	W	10 Apr 1986	1986	2008,2007,2006	2006	2008
Josephine FOERSTER	GER	W	28 Aug 1988	1988	2005	2005	2005
Annika HELD	GER	W	24 Jun 1986	1986	2005	2005	2005
Fides PIEPENBRINK	GER	W	21 Nov 1987	1987	2004	2004	2004
Stephanie WAGNER	GER	W	11 Jan 1986	1986	2008,2008,2007,2006,2005	2005	2008
Simon LINDER	GER	M	26 May 1986	1986	None	None	None
Maximilian BOENTGEN	GER	M	11 Apr 1986	1986	None	None	None
Vasiliki LASKARIDOU	GRE	W	13 Apr 1987	1987	2004	2004	2004
Andreas VASDEKIS	GRE	M	3 May 1986	1986	2004	2004	2004
Petros POULAKIS	GRE	M	19 Jun 1987	1987	2005,2004	2004	2005
Alexandra OIKONOMOU	GRE	W	14 Apr 1988	1988	2004	2004	2004
Andreas TILELIS	GRE	M	17 Feb 1986	1986	2008,2007,2006,2006,2005,2004	2004	2008
Giorgios KORDATOS	GRE	M	24 Jan 1987	1987	2004	2004	2004
Georgios TZIALLAS	GRE	M	14 Jul 1987	1987	2016,2016,2016,2015,2015,2014,2014,2014,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2009,2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2006,2005,2004	2004	2016
Charisis CHIRAS	GRE	M	2 Jul 1987	1987	2004	2004	2004
Georgios LAMPROPOULOS	GRE	M	7 Mar 1987	1987	2005	2005	2005
Thanasis KROKIDIS	GRE	M	23 Sep 1987	1987	2005,2004	2004	2005
Giorgios MELLOS	GRE	M	21 Aug 1986	1986	None	None	None
Panagiota-Nagia VASILIOU	GRE	W	15 Jul 1988	1988	None	None	None
Efstratios ALEXIDIS	GRE	M	20 Mar 1987	1987	2005	2005	2005
Kuriakou MARKOU	GRE	M	7 Feb 1986	1986	None	None	None
Dominika KARACSONY	HUN	W	13 Aug 1987	1987	2006,2005,2004	2004	2006
Brigitta TOLGYESI	HUN	W	25 Nov 1986	1986	2008,2007,2006,2005,2004	2004	2008
Oliver SZABADKAI	HUN	M	18 Nov 1987	1987	2007,2006,2005,2004	2004	2007
Enrique MAILLO	ESP	M	12 Apr 1987	1987	None	None	None
Antonio CALIZ CAMPAL	ESP	M	7 Apr 1987	1987	2005	2005	2005
Daniel GONZALEZ	ESP	M	5 Apr 1986	1986	None	None	None
Mattia BOSCHELLI	ITA	M	31 Dec 1987	1987	2008,2007,2006,2005,2004	2004	2008
Federico MICAELLI	ITA	M	12 Apr 1987	1987	2005,2004	2004	2005
Leopoldo SANSONE	ITA	M	12 Mar 1987	1987	2013,2013,2013,2012,2012,2011,2011,2011,2011,2010,2010,2009,2009,2008,2008,2007,2005,2004	2004	2013
Ivan DURANTE	ITA	M	20 Feb 1987	1987	2005,2004	2004	2005
Lavinia TINELLI	ITA	W	16 Feb 1987	1987	2005,2004	2004	2005
Cristina ROMITI	ITA	W	9 Jul 1988	1988	2008,2008,2007,2007,2007,2006,2005,2004	2004	2008
Franco VARRONE	ITA	M	4 Mar 1986	1986	2004	2004	2004
Massimo DE PICCOLI	ITA	M	25 Oct 1986	1986	2004	2004	2004
Eugenia SANNITA	ITA	W	27 Sep 1986	1986	2004	2004	2004
Sabrina MARGHERITA	ITA	W	25 Jan 1986	1986	2004	2004	2004
Maria SCALICI	ITA	W	23 Jun 1986	1986	2004	2004	2004
Marco DI GERONIMO	ITA	M	10 Mar 1986	1986	2004	2004	2004
Enrico MAUTINO	ITA	M	7 Aug 1986	1986	2004	2004	2004
Armando DELL'AQUILA	ITA	M	20 Aug 1987	1987	2015,2015,2015,2014,2014,2014,2013,2013,2012,2012,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2008,2008,2007,2007,2007,2007,2006,2005,2004	2004	2015
Lorenzo CATTADORI	ITA	M	8 Apr 1990	1990	2004	2004	2004
Valeria ALLERUZZO	ITA	W	12 Jul 1987	1987	2005,2004	2004	2005
Veronica PIZZAMUS	ITA	W	11 Mar 1988	1988	2010,2009,2009,2008,2008,2005,2004	2004	2010
Erika PAGLIARELLA	ITA	W	27 Sep 1987	1987	2006,2005,2004	2004	2006
Caterina PELLIZZARI	ITA	W	16 Jan 1987	1987	2006,2004	2004	2006
Andrea MESSINA	ITA	M	15 Jun 1987	1987	2009,2008,2007,2006,2005,2004	2004	2009
Francesca GALLO	ITA	W	21 May 1987	1987	2008,2007,2007,2007,2006,2006,2006,2006,2005,2004	2004	2008
Alice LOMBARDI	ITA	W	15 Aug 1986	1986	2004	2004	2004
Claudia BELLINI	ITA	W	7 Jan 1986	1986	2004	2004	2004
Valentina TESSERA	ITA	W	1 Dec 1987	1987	2004	2004	2004
Silvia MARTIN	ITA	W	6 Sep 1987	1987	2012,2011,2009,2009,2004	2004	2012
Erica IPPOLITO	ITA	W	3 Oct 1988	1988	2004	2004	2004
Luca PAPPALARDO	ITA	M	28 Mar 1986	1986	2004	2004	2004
Francesco FOSSI	ITA	M	15 Apr 1988	1988	2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2010,2009,2009,2009,2009,2009,2008,2008,2007,2007,2007,2007,2006,2005,2004	2004	2016
Romano BATTISTI	ITA	M	21 Aug 1986	1986	2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2012,2011,2011,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2006,2004	2004	2018
Luca OTTAVIANI	ITA	M	11 Oct 1986	1986	2004	2004	2004
Carlo GROSSO	ITA	M	7 Jan 1986	1986	2004	2004	2004
Annalisa COZZARINI	ITA	M	11 Jun 1987	1987	None	None	None
Rebecca MEIOLI	ITA	W	29 Mar 1987	1987	2006	2006	2006
Leandro REALI	ITA	M	29 Aug 1986	1986	None	None	None
Bruno ROSETTI	ITA	M	5 Jan 1988	1988	2018,2018,2018,2017,2017,2009,2009,2007,2007,2007,2006,2005	2005	2018
Atsumi OHASHI	JPN	W	11 Jan 1987	1987	2005,2004	2004	2005
Asumi SUEHIRO	JPN	W	21 Dec 1987	1987	2014,2014,2013,2013,2013,2012,2005,2004	2004	2014
Kanako TANABE	JPN	W	17 Nov 1986	1986	2007,2004	2004	2007
Eri WAKAI	JPN	W	18 Jun 1986	1986	2014,2014,2013,2013,2013,2011,2011,2010,2010,2010,2010,2006,2004	2004	2014
Hiroshi BEPPU	JPN	M	17 May 1986	1986	2004	2004	2004
Tetsuya FUKUDA	JPN	M	27 Jan 1987	1987	2005,2004	2004	2005
Makoto ISHITA	JPN	M	30 Mar 1986	1986	2016,2016,2015,2015,2008,2006,2004	2004	2016
Akinao SUGITANI	JPN	M	20 Jan 1986	1986	2004	2004	2004
Masashi HISAMURA	JPN	M	27 Jan 1987	1987	2004	2004	2004
Sarunas SKUODIS	LTU	M	7 Jan 1987	1987	2005,2004	2004	2005
Saulius RITTER	LTU	M	23 Aug 1988	1988	2018,2018,2018,2018,2017,2017,2017,2017,2016,2016,2016,2015,2014,2014,2014,2014,2013,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2009,2009,2008,2007,2007,2006,2006,2005,2004	2004	2018
Dovile BAGVILAITE	LTU	W	1 May 1986	1986	2004	2004	2004
Loreta KISNIERIUTE	LTU	W	25 Apr 1986	1986	2004	2004	2004
Justinas KRASAUSKAS	LTU	M	21 Feb 1986	1986	2004	2004	2004
Aleksandr VORONOJ	LTU	M	15 Aug 1986	1986	2004	2004	2004
Mantas AUGYS	LTU	M	10 Mar 1987	1987	2005,2004	2004	2005
Januras MOCKUS	LTU	M	18 Oct 1986	1986	2005,2004	2004	2005
Jacques HUPPES	NED	M	25 Jul 1987	1987	2006,2004	2004	2006
Meindert KLEM	NED	M	16 Oct 1987	1987	2014,2014,2014,2013,2013,2013,2013,2012,2012,2012,2011,2011,2011,2010,2010,2010,2009,2009,2008,2008,2008,2007,2007,2007,2006,2005,2004	2004	2014
Olivier SIEGELAAR	NED	M	24 Oct 1986	1986	2016,2016,2016,2016,2015,2015,2015,2014,2014,2014,2014,2012,2012,2012,2011,2011,2010,2010,2010,2009,2009,2008,2008,2008,2007,2007,2007,2006,2004	2004	2016
Dennis KUIJK	NED	M	16 Sep 1986	1986	2004	2004	2004
Cyriel RUERS	NED	M	27 Mar 1987	1987	2005,2004	2004	2005
Bob ZIECK	NED	M	19 Apr 1986	1986	2004	2004	2004
Frits EGGINK	NED	M	7 May 1986	1986	2004	2004	2004
Tijs VAN DE WINT	NED	M	14 May 1986	1986	2004	2004	2004
Joep WINTERS	NED	M	13 Jan 1989	1989	2004	2004	2004
Mireya MARTINEZ MARTINEZ	PAR	W	11 Sep 1989	1989	2007,2005	2005	2007
Krzysztof DYMEL	POL	M	2 Feb 1986	1986	2004	2004	2004
Marcin LINIEWSKI	POL	M	29 Aug 1986	1986	2004	2004	2004
Michal GRZELAK	POL	M	20 Jul 1986	1986	2007,2006,2005,2004	2004	2007
Malgorzata MARCINIAK	POL	W	13 Oct 1987	1987	2004	2004	2004
Zuzanna TRZCINSKA	POL	W	10 Dec 1986	1986	2010,2010,2009,2009,2008,2008,2004	2004	2010
Pawel KURAL	POL	M	8 Mar 1986	1986	2008,2004	2004	2008
Dominik KUBIAK	POL	M	1 Jan 1986	1986	2011,2011,2009,2008,2007,2007,2007,2007,2007,2006,2006,2006,2005,2004	2004	2011
Michal WUDARSKI	POL	M	14 Jun 1986	1986	2004	2004	2004
Michal MAJCHRZAK	POL	M	10 Jan 1986	1986	2004	2004	2004
Aleksandra WOJCIECHOWSKA	POL	W	16 Feb 1986	1986	2004	2004	2004
Marta STANISZEWSKA	POL	W	15 Jul 1986	1986	2004	2004	2004
Magdalena MADZIEWICZ	POL	W	21 Nov 1986	1986	2007,2006,2004	2004	2007
Paulina ZASTAWA	POL	W	6 Jun 1987	1987	None	None	None
Anna PODSIEDLAK	POL	W	29 Jul 1986	1986	2005,2004	2004	2005
Natalia MACIUKIEWICZ	POL	W	12 Apr 1986	1986	2009,2009,2004	2004	2009
Alexandru BLANARU	ROU	M	24 Feb 1987	1987	2004	2004	2004
Marius LUCHIAN	ROU	M	3 Jul 1988	1988	2010,2010,2010,2009,2009,2008,2008,2008,2007,2007,2007,2007,2006,2005,2004	2004	2010
Bogdan HERGHILIGIU	ROU	M	31 Mar 1986	1986	2004	2004	2004
Ionut MOISA	ROU	M	5 May 1987	1987	2008,2008,2008,2007,2007,2007,2007,2007,2006,2006,2006,2005,2004	2004	2008
Alexandru PANIC	ROU	M	15 Sep 1986	1986	2004	2004	2004
Leon ANI	ROU	M	31 Jul 1987	1987	2005,2004	2004	2005
Andrea SISU	ROU	W	17 Feb 1986	1986	2004	2004	2004
Nicoleta ALBU	ROU	W	10 Aug 1988	1988	2014,2014,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2009,2008,2008,2007,2007,2006,2005,2004	2004	2014
Roxana MACOVEI	ROU	W	7 Jan 1987	1987	2005,2004	2004	2005
Andreea TOADER	ROU	W	17 Jun 1988	1988	2006,2005,2004	2004	2006
Ionel STRUNGARU	ROU	M	1 Jan 1988	1988	2014,2013,2013,2013,2012,2012,2012,2012,2012,2011,2011,2011,2011,2010,2009,2009,2008,2008,2007,2006,2005,2004	2004	2014
Gabriela CZOMPA	ROU	W	25 Sep 1986	1986	2006,2004	2004	2006
Angelica ROSUS	ROU	W	27 Nov 1987	1987	2006,2005,2004	2004	2006
Adelina BOGUS	ROU	W	4 Sep 1988	1988	2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2010,2009,2009,2009,2009,2009,2008,2008,2008,2008,2007,2007,2006,2005,2004	2004	2017
Mihaela COTEATA	ROU	W	15 Feb 1989	1989	2007,2006,2005,2004	2004	2007
Maria Diana BURSUC	ROU	W	6 Aug 1986	1986	2012,2012,2011,2011,2011,2011,2010,2010,2010,2009,2009,2009,2009,2008,2008,2008,2007,2007,2006,2006,2006,2004	2004	2012
Maria OHACI	ROU	W	8 Jun 1986	1986	2004	2004	2004
Talida-Teodora GIDOIU	ROU	W	12 Jan 1986	1986	2012,2012,2012,2012,2011,2011,2011,2011,2010,2010,2010,2009,2009,2009,2009,2008,2004	2004	2012
Ioan MIHAILA	ROU	M	7 Jan 1988	1988	2007,2007,2007,2006,2005,2004	2004	2007
Andrei TIMPAU	ROU	M	17 Sep 1987	1987	2008,2008,2007,2006,2006,2006,2005,2004	2004	2008
Adrian BUCEVSCHI	ROU	M	16 Mar 1986	1986	2008,2005,2004	2004	2008
Adriana BEJENAR	ROU	W	6 Oct 1987	1987	2007,2006,2005	2005	2007
Andrei PELIVAN	ROU	M	1 Apr 1986	1986	2005,2005	2005	2005
Dmitry LOMAKIN	RUS	M	23 Nov 1987	1987	2007,2005,2004	2004	2007
Ivan LYUBUSHKIN	RUS	M	28 Apr 1987	1987	2007,2005,2004	2004	2007
Alexander VASILCHENKO	RUS	M	5 May 1986	1986	2004,1989	1989	2004
Ilya KUZMIN	RUS	M	24 Jan 1987	1987	2007,2006,2005,2004	2004	2007
Vitaly BADULIN	RUS	M	24 Jun 1986	1986	2011,2011,2010,2010,2009,2009,2004	2004	2011
Ilya POPADIN	RUS	M	21 Aug 1986	1986	2004	2004	2004
Artem BOROVKO	RUS	M	6 Mar 1986	1986	2004	2004	2004
Sergey GRIDOREV	RUS	M	19 Apr 1986	1986	2004	2004	2004
